Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall forhåndsstemmer;Antall valgtingstemmer;Antall stemmer totalt;Endring % siste tilsvarende valg;Endring % siste ekvivalente valg;Antall mandater;Antall utjevningsmandater;
06;Buskerud;0631;Flesberg;;;FRP;Fremskrittspartiet;21,5;2009;16;274;290;-1;-7,5;5;0;
06;Buskerud;0632;Rollag;;;A;Det norske Arbeiderparti;38,8;1103;35;255;290;-16,4;5,1;7;0;
06;Buskerud;0632;Rollag;;;SP;Senterpartiet;28,9;1103;26;190;216;-3,3;-0,3;5;0;
06;Buskerud;0632;Rollag;;;KRF;Kristelig Folkeparti;6,6;1103;5;44;49;-6;1,6;1;0;
06;Buskerud;0632;Rollag;;;H;Høyre;25,7;1103;21;171;192;25,7;16,9;4;0;
06;Buskerud;0633;Nore og Uvdal;;;A;Det norske Arbeiderparti;32,6;1965;68;368;436;2,5;0,4;8;0;
06;Buskerud;0633;Nore og Uvdal;;;SV;Sosialistisk Venstreparti;3,8;1965;11;40;51;-0,6;1;1;0;
06;Buskerud;0633;Nore og Uvdal;;;SP;Senterpartiet;31,6;1965;52;370;422;-7,9;1,9;7;0;
06;Buskerud;0633;Nore og Uvdal;;;H;Høyre;18,9;1965;40;213;253;8,5;9,4;4;0;
06;Buskerud;0633;Nore og Uvdal;;;FRP;Fremskrittspartiet;13,1;1965;28;147;175;-2,4;-7,3;3;0;
07;Vestfold;0701;Horten;;;A;Det norske Arbeiderparti;35,4;20262;1357;3289;4646;-1,7;-3,9;15;0;
07;Vestfold;0701;Horten;;;SV;Sosialistisk Venstreparti;3,1;20262;88;317;405;-1,9;-5,2;1;0;
07;Vestfold;0701;Horten;;;RØDT;Rødt;3,9;20262;142;373;515;-2,5;2,8;2;0;
07;Vestfold;0701;Horten;;;SP;Senterpartiet;2,6;20262;50;291;341;0,1;0,8;1;0;
07;Vestfold;0701;Horten;;;KRF;Kristelig Folkeparti;2,8;20262;97;266;363;-0,7;-0,6;1;0;
07;Vestfold;0701;Horten;;;V;Venstre;5;20262;120;533;653;2,3;2,3;2;0;
07;Vestfold;0701;Horten;;;H;Høyre;38,3;20262;1193;3838;5031;17,6;20,4;16;0;
07;Vestfold;0701;Horten;;;FRP;Fremskrittspartiet;7,7;20262;272;733;1005;-11,4;-16,6;3;0;
07;Vestfold;0701;Horten;;;KSP;Kristent Samlingsparti;0,4;20262;7;48;55;0,4;0,2;0;0;
07;Vestfold;0701;Horten;;;VPP;Verdipolitisk Parti;0,9;20262;36;87;123;0,9;0,9;0;0;
07;Vestfold;0702;Holmestrand;;;A;Det norske Arbeiderparti;29,2;7994;252;1214;1466;-3,5;-11;8;0;
07;Vestfold;0702;Holmestrand;;;SV;Sosialistisk Venstreparti;5;7994;46;207;253;-1,5;-1;1;0;
07;Vestfold;0702;Holmestrand;;;SP;Senterpartiet;6,1;7994;27;280;307;0,2;2,3;2;0;
07;Vestfold;0702;Holmestrand;;;KRF;Kristelig Folkeparti;4,6;7994;43;186;229;4,6;0,5;1;0;
07;Vestfold;0702;Holmestrand;;;V;Venstre;3,1;7994;26;131;157;0,4;0,7;1;0;
07;Vestfold;0702;Holmestrand;;;H;Høyre;46;7994;376;1934;2310;21;29,2;12;0;
07;Vestfold;0702;Holmestrand;;;FRP;Fremskrittspartiet;5,9;7994;51;245;296;-5,1;-18,9;2;0;
07;Vestfold;0704;Tønsberg;;;A;Det norske Arbeiderparti;32,5;31582;1191;5172;6363;7,9;-0,1;13;0;
07;Vestfold;0704;Tønsberg;;;SV;Sosialistisk Venstreparti;5,3;31582;231;804;1035;-2,5;-2,8;2;0;
07;Vestfold;0704;Tønsberg;;;RØDT;Rødt;0,6;31582;31;94;125;-0,6;0;0;0;
07;Vestfold;0704;Tønsberg;;;SP;Senterpartiet;2,3;31582;41;405;446;-0,8;0,1;1;0;
07;Vestfold;0704;Tønsberg;;;KRF;Kristelig Folkeparti;5;31582;216;763;979;-0,9;-0,1;2;0;
07;Vestfold;0704;Tønsberg;;;V;Venstre;4,8;31582;165;771;936;0,2;1,1;2;0;
07;Vestfold;0704;Tønsberg;;;H;Høyre;37;31582;1231;6002;7233;16,4;17;15;0;
07;Vestfold;0704;Tønsberg;;;FRP;Fremskrittspartiet;10;31582;347;1608;1955;-18,9;-16,4;4;0;
07;Vestfold;0704;Tønsberg;;;KSP;Kristent Samlingsparti;0,6;31582;23;87;110;0,6;0,3;0;0;
07;Vestfold;0704;Tønsberg;;;KYST;Kystpartiet;0,5;31582;8;92;100;0,5;0,5;0;0;
07;Vestfold;0704;Tønsberg;;;MDG;Miljøpartiet De Grønne;0,7;31582;34;103;137;0,7;0,3;0;0;
07;Vestfold;0704;Tønsberg;;;BMB;Bylisten mot bomring;0,7;31582;18;112;130;-2,1;0,7;0;0;
07;Vestfold;0706;Sandefjord;;;A;Det norske Arbeiderparti;22,5;34178;1199;3451;4650;5,6;-7,6;9;0;
07;Vestfold;0706;Sandefjord;;;SV;Sosialistisk Venstreparti;4,2;34178;197;664;861;-2,4;-1,5;2;0;
07;Vestfold;0706;Sandefjord;;;RØDT;Rødt;0,5;34178;29;83;112;0,5;0;0;0;
07;Vestfold;0706;Sandefjord;;;SP;Senterpartiet;1,1;34178;31;200;231;-0,6;-0,3;0;0;
07;Vestfold;0706;Sandefjord;;;KRF;Kristelig Folkeparti;4;34178;193;634;827;-0,7;-0,2;2;0;
07;Vestfold;0706;Sandefjord;;;V;Venstre;4,5;34178;183;750;933;0,7;1,6;2;0;
07;Vestfold;0706;Sandefjord;;;H;Høyre;47,9;34178;2098;7780;9878;4,7;23,9;18;0;
07;Vestfold;0706;Sandefjord;;;FRP;Fremskrittspartiet;12;34178;582;1892;2474;-7,3;-17,4;5;0;
07;Vestfold;0706;Sandefjord;;;KYST;Kystpartiet;0,2;34178;4;31;35;0;0,1;0;0;
07;Vestfold;0706;Sandefjord;;;MDG;Miljøpartiet De Grønne;1;34178;55;151;206;0,3;0,5;0;0;
07;Vestfold;0706;Sandefjord;;;PP;Pensjonistpartiet;2;34178;130;286;416;-0,6;1,2;1;0;
07;Vestfold;0709;Larvik;;;A;Det norske Arbeiderparti;38,5;33512;1264;6632;7896;15,6;2,8;14;0;
07;Vestfold;0709;Larvik;;;SV;Sosialistisk Venstreparti;2,7;33512;135;417;552;-0,6;-3;1;0;
07;Vestfold;0709;Larvik;;;RØDT;Rødt;1,1;33512;56;176;232;0,2;0,6;0;0;
07;Vestfold;0709;Larvik;;;SP;Senterpartiet;3,3;33512;66;604;670;-0,8;0,4;1;0;
07;Vestfold;0709;Larvik;;;KRF;Kristelig Folkeparti;6,2;33512;246;1022;1268;0,5;0,5;2;0;
07;Vestfold;0709;Larvik;;;V;Venstre;7,6;33512;227;1328;1555;0,9;5;3;0;
07;Vestfold;0709;Larvik;;;H;Høyre;17,6;33512;575;3045;3620;-5,7;0,3;6;0;
07;Vestfold;0709;Larvik;;;FRP;Fremskrittspartiet;21,2;33512;574;3766;4340;-0,8;-7,4;8;0;
07;Vestfold;0709;Larvik;;;MDG;Miljøpartiet De Grønne;1,9;33512;42;339;381;1,9;1,6;0;0;
07;Vestfold;0711;Svelvik;;;A;Det norske Arbeiderparti;45,5;5114;193;1177;1370;11,5;9,2;11;0;
07;Vestfold;0711;Svelvik;;;SP;Senterpartiet;5,5;5114;14;151;165;-0,1;2,6;1;0;
07;Vestfold;0711;Svelvik;;;KRF;Kristelig Folkeparti;2,9;5114;16;70;86;-0,2;0,1;1;0;
07;Vestfold;0711;Svelvik;;;V;Venstre;6,2;5114;20;168;188;6,2;4,3;2;0;
07;Vestfold;0711;Svelvik;;;H;Høyre;26,2;5114;105;682;787;-5,5;7,3;7;0;
07;Vestfold;0711;Svelvik;;;FRP;Fremskrittspartiet;13,7;5114;40;373;413;-11,6;-18,4;3;0;
07;Vestfold;0713;Sande;;;A;Det norske Arbeiderparti;48,9;6461;305;1723;2028;2,3;11;13;0;
07;Vestfold;0713;Sande;;;SV;Sosialistisk Venstreparti;2,4;6461;15;83;98;-1,3;-2,3;0;0;
07;Vestfold;0713;Sande;;;SP;Senterpartiet;7,8;6461;36;287;323;-0,5;1,3;2;0;
07;Vestfold;0713;Sande;;;KRF;Kristelig Folkeparti;4,2;6461;35;141;176;0,5;1,3;1;0;
07;Vestfold;0713;Sande;;;V;Venstre;6,5;6461;33;236;269;0,9;3,8;2;0;
07;Vestfold;0713;Sande;;;H;Høyre;16,7;6461;105;588;693;5,9;0,7;4;0;
07;Vestfold;0713;Sande;;;FRP;Fremskrittspartiet;13,5;6461;90;471;561;-7,6;-14,6;3;0;
07;Vestfold;0714;Hof;;;A;Det norske Arbeiderparti;21,9;2350;71;267;338;-3,1;-14,1;4;0;
07;Vestfold;0714;Hof;;;SV;Sosialistisk Venstreparti;3,4;2350;8;44;52;-5,7;-2,3;0;0;
07;Vestfold;0714;Hof;;;SP;Senterpartiet;23,9;2350;57;311;368;4,3;11,2;4;0;
07;Vestfold;0714;Hof;;;V;Venstre;3,4;2350;12;41;53;3,4;0,8;0;0;
07;Vestfold;0714;Hof;;;H;Høyre;47,4;2350;144;586;730;3,1;32;9;0;
07;Vestfold;0716;Re;;;A;Det norske Arbeiderparti;17,2;6870;268;480;748;0;-10,7;4;0;
07;Vestfold;0716;Re;;;SV;Sosialistisk Venstreparti;3,1;6870;41;94;135;-0,8;-1,9;1;0;
07;Vestfold;0716;Re;;;SP;Senterpartiet;38,2;6870;442;1218;1660;5,6;23,6;9;0;
07;Vestfold;0716;Re;;;V;Venstre;3,6;6870;38;118;156;-0,2;1,1;1;0;
07;Vestfold;0716;Re;;;FRP;Fremskrittspartiet;14,4;6870;184;442;626;-6,4;-11,3;4;0;
07;Vestfold;0716;Re;;;KYST;Kystpartiet;0,6;6870;7;21;28;0,6;0,5;0;0;
07;Vestfold;0716;Re;;;RE_H_KRF;Høyre og Kristelig Folkeparti;22,9;6870;294;702;996;22,9;22,9;6;0;
07;Vestfold;0719;Andebu;;;A;Det norske Arbeiderparti;28;4109;91;619;710;7,6;-3,3;7;0;
07;Vestfold;0719;Andebu;;;SV;Sosialistisk Venstreparti;2,7;4109;16;52;68;-4,2;-2,9;0;0;
07;Vestfold;0719;Andebu;;;SP;Senterpartiet;17,3;4109;30;409;439;5,7;9,6;4;0;
07;Vestfold;0719;Andebu;;;KRF;Kristelig Folkeparti;6,7;4109;18;151;169;-8,7;0,4;2;0;
07;Vestfold;0719;Andebu;;;V;Venstre;7,6;4109;29;163;192;-2,7;4,4;2;0;
07;Vestfold;0719;Andebu;;;H;Høyre;23,7;4109;70;530;600;9,5;6,9;6;0;
07;Vestfold;0719;Andebu;;;FRP;Fremskrittspartiet;14;4109;39;317;356;-7,2;-12,4;4;0;
07;Vestfold;0720;Stokke;;;A;Det norske Arbeiderparti;36,2;8370;454;1528;1982;0,6;4,5;11;0;
07;Vestfold;0720;Stokke;;;SV;Sosialistisk Venstreparti;3,5;8370;41;150;191;-0,9;-3,2;1;0;
07;Vestfold;0720;Stokke;;;SP;Senterpartiet;4,4;8370;36;205;241;-2,8;-0,8;1;0;
07;Vestfold;0720;Stokke;;;KRF;Kristelig Folkeparti;6,8;8370;69;303;372;-1,9;0;2;0;
07;Vestfold;0720;Stokke;;;V;Venstre;4,3;8370;49;188;237;0,4;1;1;0;
07;Vestfold;0720;Stokke;;;H;Høyre;35,9;8370;408;1553;1961;14,4;17,9;10;0;
07;Vestfold;0720;Stokke;;;FRP;Fremskrittspartiet;8,9;8370;112;374;486;-9,8;-17,2;3;0;
07;Vestfold;0722;Nøtterøy;;;A;Det norske Arbeiderparti;28,1;16297;610;2441;3051;9,3;-1,8;12;0;
07;Vestfold;0722;Nøtterøy;;;SP;Senterpartiet;0,9;16297;18;80;98;-0,6;-0,3;0;0;
07;Vestfold;0722;Nøtterøy;;;KRF;Kristelig Folkeparti;4,7;16297;101;407;508;-0,5;0,7;2;0;
07;Vestfold;0722;Nøtterøy;;;V;Venstre;5,5;16297;106;493;599;1,9;1,9;2;0;
07;Vestfold;0722;Nøtterøy;;;H;Høyre;39,7;16297;864;3455;4319;8,8;15;16;0;
07;Vestfold;0722;Nøtterøy;;;FRP;Fremskrittspartiet;11,4;16297;294;949;1243;-11,7;-15,2;5;0;
07;Vestfold;0722;Nøtterøy;;;BOM;Nøtterøylisten mot Bomring;1,9;16297;33;176;209;-2,5;1,9;1;0;
07;Vestfold;0722;Nøtterøy;;;RV_SV;Felleslista RV/SV;7,7;16297;166;676;842;-4,7;7,7;3;0;
07;Vestfold;0723;Tjøme;;;A;Det norske Arbeiderparti;31,8;3777;243;588;831;-2;1,8;6;0;
07;Vestfold;0723;Tjøme;;;RØDT;Rødt;2,4;3777;21;41;62;2,4;1,7;0;0;
07;Vestfold;0723;Tjøme;;;SP;Senterpartiet;1,2;3777;8;23;31;1,2;-0,3;0;0;
07;Vestfold;0723;Tjøme;;;KRF;Kristelig Folkeparti;3,1;3777;28;52;80;-0,1;0,6;0;0;
07;Vestfold;0723;Tjøme;;;V;Venstre;8,3;3777;47;171;218;4;4,4;2;0;
07;Vestfold;0723;Tjøme;;;H;Høyre;28,6;3777;245;503;748;14,4;8,2;6;0;
07;Vestfold;0723;Tjøme;;;FRP;Fremskrittspartiet;19,6;3777;160;353;513;-3,3;-12;4;0;
07;Vestfold;0723;Tjøme;;;TJL;Tjømelista;5;3777;37;94;131;-13,1;5;1;0;
07;Vestfold;0728;Lardal;;;A;Det norske Arbeiderparti;33,4;1912;62;378;440;-4,5;-8,3;5;0;
07;Vestfold;0728;Lardal;;;SV;Sosialistisk Venstreparti;2,4;1912;10;21;31;-3,7;-1,4;0;0;
07;Vestfold;0728;Lardal;;;SP;Senterpartiet;21,6;1912;31;254;285;1,5;8;4;0;
07;Vestfold;0728;Lardal;;;KRF;Kristelig Folkeparti;6,4;1912;16;68;84;-1,2;1,7;1;0;
07;Vestfold;0728;Lardal;;;V;Venstre;4,3;1912;10;47;57;-2,9;1,7;1;0;
07;Vestfold;0728;Lardal;;;H;Høyre;22,9;1912;24;278;302;13,9;10,6;4;0;
07;Vestfold;0728;Lardal;;;FRP;Fremskrittspartiet;9,1;1912;21;99;120;-3,1;-11;2;0;
08;Telemark;0805;Porsgrunn;;;A;Det norske Arbeiderparti;33,2;28364;971;4776;5747;-6,1;-10,3;16;0;
08;Telemark;0805;Porsgrunn;;;SV;Sosialistisk Venstreparti;3,7;28364;118;517;635;-1,6;-1,7;2;0;
08;Telemark;0805;Porsgrunn;;;RØDT;Rødt;2,3;28364;75;314;389;0,2;1,1;1;0;
08;Telemark;0805;Porsgrunn;;;SP;Senterpartiet;1;28364;22;146;168;-0,7;-0,7;0;0;
08;Telemark;0805;Porsgrunn;;;KRF;Kristelig Folkeparti;4,9;28364;152;687;839;-0,8;0;2;0;
08;Telemark;0805;Porsgrunn;;;V;Venstre;5,6;28364;185;780;965;-2,2;3;3;0;
08;Telemark;0805;Porsgrunn;;;H;Høyre;19,2;28364;532;2785;3317;10,8;3,4;10;0;
08;Telemark;0805;Porsgrunn;;;FRP;Fremskrittspartiet;10,5;28364;265;1549;1814;-16,9;-13,6;5;0;
08;Telemark;0805;Porsgrunn;;;MDG;Miljøpartiet De Grønne;1,8;28364;46;271;317;1,8;1,5;1;0;
08;Telemark;0805;Porsgrunn;;;BYN;By og Nærmiljøpartiet;17,9;28364;404;2693;3097;17,9;17,9;9;0;
08;Telemark;0806;Skien;;;A;Det norske Arbeiderparti;37,4;40764;1563;7375;8938;-1,2;-4,4;21;0;
08;Telemark;0806;Skien;;;SV;Sosialistisk Venstreparti;4,6;40764;223;881;1104;-2,7;-0,8;3;0;
08;Telemark;0806;Skien;;;RØDT;Rødt;1,2;40764;68;226;294;-0,2;0,3;1;0;
08;Telemark;0806;Skien;;;SP;Senterpartiet;2,5;40764;75;516;591;-0,2;0;1;0;
08;Telemark;0806;Skien;;;KRF;Kristelig Folkeparti;7,7;40764;304;1530;1834;-0,9;0,5;4;0;
08;Telemark;0806;Skien;;;V;Venstre;5,1;40764;184;1041;1225;-0,2;2,7;3;0;
08;Telemark;0806;Skien;;;H;Høyre;26,7;40764;892;5485;6377;16,6;12,4;15;0;
08;Telemark;0806;Skien;;;FRP;Fremskrittspartiet;12,9;40764;496;2581;3077;-12,2;-11,8;7;0;
08;Telemark;0806;Skien;;;DEMN;Demokratene i Norge;0,4;40764;27;65;92;0,2;0,3;0;0;
08;Telemark;0806;Skien;;;MDG;Miljøpartiet De Grønne;0,8;40764;39;162;201;0,8;0,6;0;0;
08;Telemark;0806;Skien;;;PP;Pensjonistpartiet;0,8;40764;37;154;191;0;0,4;0;0;
08;Telemark;0807;Notodden;;;A;Det norske Arbeiderparti;32,4;9766;312;1562;1874;6;-13,3;13;0;
08;Telemark;0807;Notodden;;;SP;Senterpartiet;5,9;9766;31;309;340;-0,7;0,8;2;0;
08;Telemark;0807;Notodden;;;KRF;Kristelig Folkeparti;10,8;9766;98;527;625;0;2,9;5;0;
08;Telemark;0807;Notodden;;;V;Venstre;9,2;9766;91;442;533;4,2;7,3;4;0;
08;Telemark;0807;Notodden;;;H;Høyre;18,3;9766;149;910;1059;9,1;7,8;8;0;
08;Telemark;0807;Notodden;;;FRP;Fremskrittspartiet;10,2;9766;84;504;588;-5,5;-8,9;4;0;
08;Telemark;0807;Notodden;;;MDG;Miljøpartiet De Grønne;1,2;9766;20;47;67;1,2;0,8;0;0;
08;Telemark;0807;Notodden;;;SOLA;Solidaritetslista;12;9766;133;558;691;-14,3;12;5;0;
08;Telemark;0811;Siljan;;;A;Det norske Arbeiderparti;59,4;1851;109;558;667;14,3;16;10;0;
08;Telemark;0811;Siljan;;;SV;Sosialistisk Venstreparti;6;1851;14;53;67;-0,5;0,9;1;0;
08;Telemark;0811;Siljan;;;SP;Senterpartiet;9,2;1851;12;91;103;-3,3;2,1;2;0;
08;Telemark;0811;Siljan;;;H_KRF_SI;Fellesliste for Høyre og KrF;25,4;1851;36;249;285;25,4;25,4;4;0;
08;Telemark;0814;Bamble;;;A;Det norske Arbeiderparti;36;10937;477;1936;2413;2,5;-3,6;12;0;
08;Telemark;0814;Bamble;;;RØDT;Rødt;3,3;10937;57;164;221;3,3;2,4;1;0;
08;Telemark;0814;Bamble;;;SP;Senterpartiet;4,1;10937;38;236;274;-0,6;1,5;1;0;
08;Telemark;0814;Bamble;;;KRF;Kristelig Folkeparti;6,8;10937;80;379;459;-0,5;0,8;2;0;
08;Telemark;0814;Bamble;;;V;Venstre;3,4;10937;45;184;229;-0,7;1,3;1;0;
08;Telemark;0814;Bamble;;;H;Høyre;14,1;10937;193;752;945;6,1;-0,2;5;0;
08;Telemark;0814;Bamble;;;FRP;Fremskrittspartiet;32,3;10937;358;1813;2171;-4,1;2;11;0;
08;Telemark;0815;Kragerø;;;A;Det norske Arbeiderparti;34;8515;404;1444;1848;6,5;-8,8;12;0;
08;Telemark;0815;Kragerø;;;SV;Sosialistisk Venstreparti;4;8515;57;163;220;-1,9;-2,1;1;0;
08;Telemark;0815;Kragerø;;;RØDT;Rødt;7,3;8515;94;303;397;1,3;5,3;3;0;
08;Telemark;0815;Kragerø;;;SP;Senterpartiet;2,6;8515;21;119;140;-0,8;-0,3;1;0;
08;Telemark;0815;Kragerø;;;KRF;Kristelig Folkeparti;6,5;8515;65;291;356;0,3;0,1;2;0;
08;Telemark;0815;Kragerø;;;V;Venstre;5,4;8515;81;213;294;-5,9;1,9;2;0;
08;Telemark;0815;Kragerø;;;H;Høyre;30,1;8515;333;1303;1636;8,4;16,6;10;0;
08;Telemark;0815;Kragerø;;;FRP;Fremskrittspartiet;10,1;8515;143;409;552;-7,8;-11,5;4;0;
08;Telemark;0817;Drangedal;;;A;Det norske Arbeiderparti;47,7;3239;160;838;998;7,6;2,8;10;0;
08;Telemark;0817;Drangedal;;;SV;Sosialistisk Venstreparti;4,2;3239;18;69;87;-4,7;0,4;1;0;
08;Telemark;0817;Drangedal;;;SP;Senterpartiet;11,9;3239;27;222;249;-0,3;0,9;2;0;
08;Telemark;0817;Drangedal;;;KRF;Kristelig Folkeparti;7,7;3239;29;132;161;-1,2;-0,9;2;0;
08;Telemark;0817;Drangedal;;;V;Venstre;9,3;3239;34;160;194;-4,7;6,2;2;0;
08;Telemark;0817;Drangedal;;;H;Høyre;11,8;3239;52;196;248;6,7;3,2;2;0;
08;Telemark;0817;Drangedal;;;FRP;Fremskrittspartiet;7,5;3239;25;132;157;-3,5;-11,2;2;0;
08;Telemark;0819;Nome;;;A;Det norske Arbeiderparti;41;5183;169;1181;1350;11,2;0,9;12;0;
08;Telemark;0819;Nome;;;SV;Sosialistisk Venstreparti;3,1;5183;16;85;101;-1,5;-1,4;1;0;
08;Telemark;0819;Nome;;;SP;Senterpartiet;20,4;5183;86;584;670;-9,1;8,4;6;0;
08;Telemark;0819;Nome;;;KRF;Kristelig Folkeparti;5,4;5183;17;160;177;-0,4;-0,2;2;0;
08;Telemark;0819;Nome;;;V;Venstre;3,5;5183;14;102;116;2,2;1,6;1;0;
08;Telemark;0819;Nome;;;H;Høyre;14,7;5183;71;414;485;7,5;3;4;0;
08;Telemark;0819;Nome;;;FRP;Fremskrittspartiet;11,9;5183;51;341;392;-2,9;-10,7;3;0;
08;Telemark;0821;Bø;;;A;Det norske Arbeiderparti;19,2;4294;155;375;530;-11,8;-16,6;5;0;
08;Telemark;0821;Bø;;;SV;Sosialistisk Venstreparti;6,1;4294;55;113;168;-3,5;-2,5;2;0;
08;Telemark;0821;Bø;;;SP;Senterpartiet;8;4294;38;184;222;-3,7;-4,2;2;0;
08;Telemark;0821;Bø;;;KRF;Kristelig Folkeparti;9,7;4294;63;206;269;-0,8;2,2;2;0;
08;Telemark;0821;Bø;;;V;Venstre;37;4294;214;809;1023;22,3;33,1;9;0;
08;Telemark;0821;Bø;;;H;Høyre;11,9;4294;91;238;329;4,4;1,1;3;0;
08;Telemark;0821;Bø;;;FRP;Fremskrittspartiet;8,1;4294;60;164;224;-6,9;-11,3;2;0;
08;Telemark;0822;Sauherad;;;A;Det norske Arbeiderparti;29,1;3358;66;532;598;-10,1;-8,3;8;0;
08;Telemark;0822;Sauherad;;;SV;Sosialistisk Venstreparti;4,6;3358;11;84;95;-3,2;-1,4;1;0;
08;Telemark;0822;Sauherad;;;SP;Senterpartiet;15,6;3358;25;295;320;0,3;2,4;5;0;
08;Telemark;0822;Sauherad;;;KRF;Kristelig Folkeparti;21,7;3358;49;396;445;11;14,9;6;0;
08;Telemark;0822;Sauherad;;;V;Venstre;5,1;3358;19;85;104;0,8;1,7;2;0;
08;Telemark;0822;Sauherad;;;H;Høyre;14;3358;14;273;287;5,3;2,9;4;0;
08;Telemark;0822;Sauherad;;;FRP;Fremskrittspartiet;10;3358;23;183;206;-4;-10,2;3;0;
08;Telemark;0826;Tinn;;;A;Det norske Arbeiderparti;38,3;4749;301;850;1151;-11,1;-7;11;0;
08;Telemark;0826;Tinn;;;SV;Sosialistisk Venstreparti;6,6;4749;48;151;199;1,1;-0,1;2;0;
08;Telemark;0826;Tinn;;;SP;Senterpartiet;10,7;4749;34;286;320;2;0,9;3;0;
08;Telemark;0826;Tinn;;;KRF;Kristelig Folkeparti;2,7;4749;27;53;80;0,2;-0,2;1;0;
08;Telemark;0826;Tinn;;;V;Venstre;5,9;4749;37;141;178;4,5;4;2;0;
08;Telemark;0826;Tinn;;;H;Høyre;27,4;4749;164;660;824;14,5;16;8;0;
08;Telemark;0826;Tinn;;;FRP;Fremskrittspartiet;8,4;4749;66;186;252;-0,4;-11,9;2;0;
08;Telemark;0827;Hjartdal;;;A;Det norske Arbeiderparti;66,2;1287;78;523;601;22,4;27;11;0;
08;Telemark;0827;Hjartdal;;;SP;Senterpartiet;19,5;1287;23;154;177;-16,2;1,7;4;0;
08;Telemark;0827;Hjartdal;;;KRF;Kristelig Folkeparti;14,3;1287;16;114;130;-6,2;2,8;2;0;
08;Telemark;0828;Seljord;;;A;Det norske Arbeiderparti;20,7;2339;57;247;304;-6,4;-12,4;4;0;
08;Telemark;0828;Seljord;;;SV;Sosialistisk Venstreparti;4,8;2339;13;57;70;-3,2;-1,1;1;0;
08;Telemark;0828;Seljord;;;SP;Senterpartiet;9,9;2339;24;121;145;-3,3;-3,3;2;0;
08;Telemark;0828;Seljord;;;KRF;Kristelig Folkeparti;12;2339;27;149;176;-2,9;3;3;0;
08;Telemark;0828;Seljord;;;V;Venstre;5,7;2339;12;71;83;-1,3;2,5;1;0;
08;Telemark;0828;Seljord;;;H;Høyre;38,3;2339;63;499;562;21,3;25,2;8;0;
08;Telemark;0828;Seljord;;;FRP;Fremskrittspartiet;8,7;2339;27;101;128;-4,2;-11,9;2;0;
08;Telemark;0829;Kviteseid;;;A;Det norske Arbeiderparti;34,3;2003;59;354;413;5,8;-0,5;7;0;
08;Telemark;0829;Kviteseid;;;SP;Senterpartiet;32,9;2003;47;349;396;-5,5;15,4;7;0;
08;Telemark;0829;Kviteseid;;;KRF;Kristelig Folkeparti;12,2;2003;39;108;147;-2,4;0,1;2;0;
08;Telemark;0829;Kviteseid;;;V;Venstre;7,5;2003;6;84;90;-0,4;4,4;2;0;
08;Telemark;0829;Kviteseid;;;H;Høyre;13,2;2003;24;135;159;2,5;3,4;3;0;
08;Telemark;0830;Nissedal;;;A;Det norske Arbeiderparti;30,5;1122;58;205;263;5,9;-4,5;5;0;
08;Telemark;0830;Nissedal;;;SP;Senterpartiet;28,2;1122;32;211;243;6,1;18,3;5;0;
08;Telemark;0830;Nissedal;;;KRF;Kristelig Folkeparti;20,3;1122;36;139;175;-12,2;2,4;3;0;
08;Telemark;0830;Nissedal;;;H;Høyre;10;1122;13;73;86;1,8;0,2;2;0;
08;Telemark;0830;Nissedal;;;FRP;Fremskrittspartiet;11;1122;10;85;95;-1,6;-10,4;2;0;
08;Telemark;0831;Fyresdal;;;A;Det norske Arbeiderparti;57,9;1029;78;340;418;28,5;16;7;0;
08;Telemark;0831;Fyresdal;;;SP;Senterpartiet;23,5;1029;30;140;170;-15;-0,4;3;0;
08;Telemark;0831;Fyresdal;;;BLFY;Bygdelista;18,6;1029;41;93;134;-13,5;18,6;3;0;
08;Telemark;0833;Tokke;;;A;Det norske Arbeiderparti;45,7;1833;96;506;602;8,9;4,6;10;0;
08;Telemark;0833;Tokke;;;SP;Senterpartiet;30,8;1833;42;363;405;-11,4;7,9;6;0;
08;Telemark;0833;Tokke;;;KRF;Kristelig Folkeparti;5,2;1833;13;55;68;-1,4;-1,4;1;0;
08;Telemark;0833;Tokke;;;H;Høyre;14,1;1833;30;155;185;9,8;6,3;3;0;
08;Telemark;0833;Tokke;;;FRP;Fremskrittspartiet;4,3;1833;13;43;56;-1,1;-10,2;1;0;
08;Telemark;0834;Vinje;;;A;Det norske Arbeiderparti;25,3;2874;81;384;465;-2,9;-10,2;7;0;
08;Telemark;0834;Vinje;;;SV;Sosialistisk Venstreparti;24,2;2874;107;338;445;-2,8;14,6;6;0;
08;Telemark;0834;Vinje;;;SP;Senterpartiet;21,1;2874;58;330;388;1,8;0,8;5;0;
08;Telemark;0834;Vinje;;;KRF;Kristelig Folkeparti;5,4;2874;25;74;99;-1,3;-0,4;1;0;
08;Telemark;0834;Vinje;;;V;Venstre;3,5;2874;15;49;64;1,2;1,2;1;0;
08;Telemark;0834;Vinje;;;H;Høyre;12,5;2874;30;201;231;7,2;5,1;3;0;
08;Telemark;0834;Vinje;;;FRP;Fremskrittspartiet;8,1;2874;28;121;149;-3,2;-9,5;2;0;
09;Aust-Agder;0901;Risør;;;A;Det norske Arbeiderparti;37,3;5475;257;1069;1326;10,9;-0,7;11;0;
